Date,Open,High,Low,Close,Volume,pe_ratio,pb_ratio,dividend_yield
2006-01-02,2836.8,2849.45,2825.4,2835.95,51922369,17.16,4.37,1.56
2006-01-03,2835.95,2887.2,2832.05,2883.35,56919143,17.45,4.44,1.54
2006-01-04,2883.0,2909.35,2883.0,2904.4,82021279,17.58,4.48,1.53
2006-01-05,2904.45,2916.2,2884.8,2899.85,70082252,17.55,4.47,1.53
2006-01-06,2899.85,2921.7,2877.25,2914.0,83354445,17.64,4.49,1.52
2006-01-09,2913.35,2927.25,2898.25,2910.1,74818404,17.62,4.49,1.52
2006-01-10,2910.15,2913.05,2865.6,2870.8,71122017,17.37,4.43,1.54
2006-01-12,2869.35,2869.35,2824.0,2850.7,92184274,17.28,4.4,1.55
2006-01-13,2851.4,2878.35,2846.7,2850.55,66173305,17.25,4.4,1.55
2006-01-16,2851.35,2855.7,2824.05,2833.1,57827407,17.14,4.37,1.56
2006-01-17,2833.8,2861.25,2820.65,2829.1,95095316,17.12,4.36,1.57
2006-01-18,2809.9,2840.1,2783.85,2809.2,119045833,16.53,4.24,1.61
2006-01-19,2811.1,2875.95,2811.1,2870.85,69427054,16.87,4.33,1.58
2006-01-20,2870.8,2912.8,2870.8,2900.95,73695932,16.91,4.38,1.56
2006-01-23,2900.3,2900.3,2870.95,2884.05,65128512,16.83,4.35,1.57
2006-01-24,2886.35,2914.25,2885.75,2908.0,67193094,16.86,4.39,1.56
2006-01-25,2908.75,2949.1,2871.25,2940.35,97129132,17.02,4.44,1.54
2006-01-27,2941.9,2989.7,2941.9,2982.75,115083146,17.42,4.5,1.52
2006-01-30,2983.3,3002.2,2963.65,2974.5,99399734,17.91,4.49,1.52
2006-01-31,2968.95,3005.1,2968.85,3001.1,74303077,17.9,4.53,1.51
2006-02-01,3001.3,3011.05,2960.9,2971.55,87163320,17.73,4.49,1.52
2006-02-02,2972.2,2997.25,2957.55,2967.45,80517157,17.7,4.48,1.53
2006-02-03,2968.1,2973.9,2931.85,2940.6,62877718,17.54,4.44,1.54
2006-02-06,2940.95,3009.45,2928.1,3000.45,70479490,17.9,4.53,1.51
2006-02-07,3001.15,3025.1,2991.25,3020.1,84822966,18.02,4.56,1.5
2006-02-08,3018.2,3021.25,2984.9,3008.95,72204624,17.95,4.54,1.5
2006-02-10,3009.15,3031.75,3009.1,3027.55,77233296,18.03,4.57,1.49
2006-02-13,3026.15,3042.75,3018.5,3041.15,66172668,18.11,4.59,1.49
2006-02-14,3040.25,3051.7,3009.9,3017.55,86851659,17.93,4.56,1.5
2006-02-15,3001.4,3048.8,2995.3,3022.2,90334973,17.96,4.56,1.5
2006-02-16,3023.1,3036.65,3013.7,3021.6,77742684,17.95,4.56,1.5
2006-02-17,3021.65,3038.8,2976.7,2981.5,80252511,17.71,4.5,1.52
2006-02-20,2982.35,3010.65,2955.85,3005.85,61702111,17.86,4.54,1.51
2006-02-21,3008.55,3042.05,3008.55,3035.5,59629361,18.03,4.58,1.49
2006-02-22,3035.65,3055.65,3032.5,3050.8,56288881,18.13,4.61,1.48
2006-02-23,3050.85,3078.4,3050.85,3062.1,108536483,18.19,4.62,1.48
2006-02-24,3061.7,3072.0,3041.6,3050.05,61840503,18.12,4.61,1.48
2006-02-27,3050.3,3070.35,3050.3,3067.45,53579117,18.22,4.63,1.48
2006-02-28,3067.9,3090.3,3031.8,3074.7,101518894,18.27,4.64,1.47
2006-03-01,3074.6,3127.25,3064.0,3123.1,96935864,18.56,4.72,1.45
2006-03-02,3124.25,3170.35,3124.25,3150.7,117835195,18.73,4.76,1.44
2006-03-03,3151.3,3167.2,3132.6,3147.35,68562889,18.71,4.75,1.44
2006-03-06,3147.25,3194.0,3147.2,3190.4,70231056,18.96,4.82,1.42
2006-03-07,3190.45,3192.95,3166.75,3182.8,85670076,18.92,4.81,1.42
2006-03-08,3183.45,3187.5,3107.9,3116.7,104385907,18.53,4.71,1.45
2006-03-09,3116.75,3132.65,3069.85,3129.1,91561270,18.6,4.73,1.45
2006-03-10,3129.05,3189.35,3128.6,3183.9,89130425,18.93,4.81,1.42
2006-03-13,3184.1,3221.3,3174.05,3202.65,71708390,19.04,4.84,1.41
2006-03-14,3197.2,3223.45,3184.05,3195.35,81135055,19.0,4.83,1.42
2006-03-16,3197.3,3230.4,3196.95,3226.6,85098635,19.18,4.87,1.4
2006-03-17,3226.9,3258.3,3226.9,3234.05,84410109,19.25,4.89,1.4
2006-03-20,3234.2,3268.25,3234.2,3265.65,74738736,19.44,4.94,1.38
2006-03-21,3264.65,3292.15,3247.25,3262.3,94383185,19.42,4.93,1.38
2006-03-22,3263.35,3267.95,3221.95,3240.15,92992199,19.28,4.9,1.39
2006-03-23,3240.85,3265.6,3225.2,3247.15,132315985,19.33,4.91,1.39
2006-03-24,3247.15,3286.2,3242.6,3279.8,133458459,19.52,4.96,1.38
2006-03-27,3283.4,3327.05,3280.8,3321.65,155883121,19.77,5.02,1.36
2006-03-28,3321.45,3344.5,3311.85,3325.0,145259830,19.79,5.03,1.36
2006-03-29,3324.85,3359.8,3324.8,3354.2,107383096,19.97,5.07,1.35
2006-03-30,3354.25,3433.85,3354.25,3418.95,167133850,20.35,5.17,1.32
2006-03-31,3420.55,3425.45,3381.9,3402.55,191025581,20.26,5.15,1.33
2006-04-03,3403.15,3478.25,3402.45,3473.3,73250033,20.68,5.26,1.3
2006-04-04,3473.1,3508.25,3463.85,3483.15,92359007,20.74,5.27,1.3
2006-04-05,3483.15,3513.95,3483.15,3510.9,79374868,20.9,5.31,1.29
2006-04-07,3525.6,3555.5,3445.9,3454.8,137089599,20.57,5.23,1.31
2006-04-10,3455.0,3489.05,3430.4,3478.45,104980176,20.71,5.26,1.3
2006-04-12,3479.1,3484.65,3366.75,3380.0,124245306,20.13,5.12,1.34
2006-04-13,3380.4,3391.05,3290.35,3345.5,129244802,19.91,5.06,1.35
2006-04-17,3342.15,3433.65,3342.15,3425.15,94138429,20.34,5.18,1.32
2006-04-18,3429.0,3521.95,3429.0,3518.1,103920172,20.76,5.32,1.28
2006-04-19,3523.65,3570.5,3502.75,3535.85,119462639,20.79,5.35,1.28
2006-04-20,3539.8,3578.35,3527.25,3573.5,113701322,21.01,5.41,1.26
2006-04-21,3576.75,3592.75,3517.1,3573.05,134014772,21.01,5.41,1.26
2006-04-24,3572.8,3585.35,3536.3,3548.9,90785788,20.85,5.37,1.27
2006-04-25,3548.8,3552.65,3433.55,3462.65,83494373,20.37,5.24,1.3
2006-04-26,3462.65,3562.3,3454.1,3555.75,90642187,20.93,5.38,1.27
2006-04-27,3554.7,3598.95,3492.75,3508.1,148887167,20.58,5.31,1.29
2006-04-28,3507.45,3517.65,3342.85,3508.35,108821039,20.08,5.31,1.29
2006-04-29,3508.35,3565.75,3508.35,3557.6,35740010,20.31,5.39,1.27
2006-05-02,3557.55,3622.05,3556.9,3605.45,108347510,20.46,5.46,1.25
2006-05-03,3604.4,3640.8,3581.4,3634.25,95591194,20.62,5.5,1.24
2006-05-04,3630.65,3674.5,3621.55,3648.4,100108143,20.7,5.52,1.24
2006-05-05,3649.45,3676.55,3639.55,3663.95,106747561,20.77,5.55,1.23
2006-05-08,3668.65,3708.55,3668.65,3693.15,70284895,20.93,5.59,1.22
2006-05-09,3694.65,3725.4,3655.65,3720.55,83890001,21.09,5.63,1.21
2006-05-10,3720.75,3758.05,3717.25,3754.25,93510261,21.28,5.68,1.2
2006-05-11,3755.8,3774.15,3687.9,3701.05,77726368,20.98,5.6,1.22
2006-05-12,3704.15,3704.15,3633.85,3650.05,94028454,20.69,5.53,1.24
2006-05-15,3651.0,3653.0,3482.85,3502.95,125542855,19.86,5.3,1.29
2006-05-16,3502.95,3543.5,3382.4,3523.3,139746059,19.97,5.34,1.28
2006-05-17,3525.05,3641.85,3525.05,3635.1,100892613,20.62,5.51,1.24
2006-05-18,3636.45,3636.45,3365.9,3388.9,137036044,19.26,5.13,1.33
2006-05-19,3391.85,3493.05,3205.25,3246.9,143372267,18.51,4.92,1.39
2006-05-22,3254.3,3313.9,2896.4,3081.35,148001127,17.52,4.67,1.46
2006-05-23,3068.6,3221.05,2997.35,3199.35,114894339,18.19,4.85,1.41
2006-05-24,3203.5,3249.75,3091.6,3115.55,134699170,17.71,4.63,1.46
2006-05-25,3114.7,3198.35,3012.95,3177.7,154894775,18.39,4.73,1.43
2006-05-26,3177.7,3277.95,3177.7,3209.6,105522896,18.28,4.77,1.42
2006-05-29,3207.25,3255.25,3193.15,3214.9,73032523,18.27,4.78,1.41
2006-05-30,3215.5,3252.1,3167.05,3185.3,69451029,18.11,4.74,1.43
2006-05-31,3181.95,3181.95,2972.9,3071.05,119568428,17.46,4.57,1.48
2006-06-01,3072.55,3130.0,2936.6,2962.25,112881053,16.78,4.41,1.53
2006-06-02,2961.5,3099.35,2940.2,3091.35,106179408,17.51,4.6,1.47
2006-06-05,3092.6,3125.4,3006.4,3016.65,88204812,17.09,4.49,1.51
2006-06-06,3015.05,3015.05,2910.3,2937.3,98819077,16.64,4.35,1.62
2006-06-07,2935.25,2956.9,2819.45,2860.45,122677884,16.21,4.23,1.66
2006-06-08,2856.9,2859.4,2683.2,2724.35,133611695,15.44,4.03,1.74
2006-06-09,2721.2,2875.75,2707.85,2866.3,101500861,16.24,4.24,1.65
2006-06-12,2867.65,2877.8,2761.85,2776.85,78190250,15.73,4.11,1.71
2006-06-13,2773.6,2773.6,2638.1,2663.3,85457365,15.09,3.94,1.78
2006-06-14,2665.05,2767.75,2595.65,2632.8,98860315,14.92,3.9,1.8
2006-06-15,2634.1,2814.15,2634.1,2798.8,88836911,15.91,4.14,1.69
2006-06-16,2799.85,2960.15,2799.85,2890.35,117621143,16.43,4.28,1.64
2006-06-19,2892.0,2932.9,2846.5,2916.9,75179603,16.58,4.2,1.65
2006-06-20,2919.0,2919.0,2837.45,2861.3,85067878,16.27,4.12,1.68
2006-06-21,2861.4,2930.8,2836.4,2923.45,81725635,16.62,4.21,1.65
2006-06-22,2923.75,3017.65,2923.75,2994.75,81030379,17.03,4.31,1.61
2006-06-23,2993.55,3063.2,2920.2,3042.7,86904356,17.3,4.38,1.58
2006-06-25,3043.15,3083.0,3035.95,3050.3,12073961,17.34,4.39,1.58
2006-06-26,3051.8,3059.85,2928.0,2943.2,87442622,16.73,4.24,1.64
2006-06-27,2943.6,3004.15,2899.25,2982.45,116745741,17.36,4.44,1.57
2006-06-28,2982.2,3003.65,2909.6,2981.1,84897439,17.57,4.44,1.57
2006-06-29,2982.9,3049.25,2982.9,2997.9,110790760,17.67,4.46,1.56
2006-06-30,2993.5,3134.15,2993.5,3128.2,98679172,18.44,4.66,1.49
2006-07-03,3128.75,3160.35,3114.85,3150.95,66603275,18.57,4.69,1.48
2006-07-04,3151.05,3177.4,3130.3,3138.65,66682150,18.5,4.67,1.49
2006-07-05,3136.95,3201.2,3121.8,3197.1,90419711,18.84,4.76,1.46
2006-07-06,3197.5,3197.5,3138.4,3156.4,74893378,18.6,4.7,1.48
2006-07-07,3157.95,3193.1,3056.3,3075.85,90060282,18.13,4.58,1.52
2006-07-10,3077.1,3147.7,3064.1,3142.0,65284375,18.52,4.68,1.49
2006-07-11,3145.3,3146.0,3100.4,3116.15,66336970,18.36,4.64,1.5
2006-07-12,3124.95,3201.35,3078.25,3195.9,93623050,18.76,4.76,1.46
2006-07-13,3196.3,3208.85,3148.95,3169.3,81620172,18.61,4.72,1.47
2006-07-14,3166.25,3166.25,3089.55,3123.35,61512609,18.33,4.47,1.54
2006-07-17,3123.65,3125.1,2999.35,3007.55,60049023,17.63,4.3,1.59
2006-07-18,3007.15,3038.25,2967.95,2993.65,70494264,17.52,4.28,1.59
2006-07-19,2995.85,3045.35,2919.95,2932.75,79085652,17.0,4.19,1.63
2006-07-20,2943.65,3041.25,2943.65,3023.05,77712999,17.43,4.32,1.58
2006-07-21,3025.1,3029.1,2930.15,2945.0,74876151,16.93,4.21,1.62
2006-07-24,2944.9,2996.65,2878.25,2985.85,78139891,17.13,4.27,1.6
2006-07-25,2989.5,3046.95,2987.15,3040.5,70646865,17.44,4.35,1.57
2006-07-26,3040.45,3121.4,3022.7,3110.15,77137663,17.58,4.45,1.53
2006-07-27,3109.85,3167.1,3109.85,3156.15,106694441,17.83,4.3,1.57
2006-07-28,3158.0,3168.5,3109.45,3130.8,81278521,17.57,4.27,1.59
2006-07-31,3131.35,3179.7,3110.6,3143.2,61675413,17.64,4.29,1.58
2006-08-01,3128.2,3154.7,3113.6,3147.8,57028169,17.67,4.29,1.58
2006-08-02,3129.45,3187.85,3127.9,3182.1,55484351,17.86,4.34,1.56
2006-08-03,3182.55,3234.25,3175.15,3190.0,69084722,17.9,4.35,1.56
2006-08-04,3189.7,3228.15,3161.8,3176.75,69528047,17.83,4.33,1.56
2006-08-07,3176.7,3178.5,3142.55,3151.1,50260661,17.69,4.3,1.58
2006-08-08,3151.55,3216.75,3151.55,3212.4,52271647,18.03,4.38,1.55
2006-08-09,3211.55,3267.2,3187.85,3254.6,71781978,18.27,4.44,1.53
2006-08-10,3254.6,3274.75,3229.45,3260.1,59287718,18.3,4.45,1.52
2006-08-11,3260.05,3286.5,3236.95,3274.35,63497173,18.38,4.46,1.52
2006-08-14,3274.95,3317.8,3269.15,3313.1,51600194,18.6,4.52,1.5
2006-08-16,3314.75,3377.1,3314.75,3356.05,69199131,18.84,4.58,1.48
2006-08-17,3359.7,3385.15,3328.6,3353.9,72570406,18.83,4.54,1.5
2006-08-18,3354.5,3366.25,3332.2,3356.75,57031969,18.84,4.54,1.5
2006-08-21,3356.8,3374.9,3332.9,3366.0,48935056,18.88,4.56,1.49
2006-08-22,3369.6,3398.35,3351.5,3364.6,58614547,18.88,4.55,1.49
2006-08-23,3363.6,3369.65,3325.1,3335.8,52060467,18.71,4.52,1.51
2006-08-24,3336.65,3379.55,3304.85,3370.4,70794902,18.91,4.56,1.49
2006-08-25,3368.55,3402.7,3368.55,3385.95,68458051,19.0,4.58,1.48
2006-08-28,3386.0,3405.3,3377.75,3401.1,46753742,19.08,4.6,1.48
2006-08-29,3405.05,3434.95,3396.1,3425.7,60674227,19.22,4.64,1.47
2006-08-30,3425.8,3440.2,3407.75,3430.35,61671400,19.25,4.58,1.47
2006-08-31,3404.5,3452.3,3403.65,3413.9,98616609,19.15,4.55,1.47
2006-09-01,3414.0,3439.5,3402.9,3435.45,71355586,19.68,4.5,1.43
2006-09-04,3435.55,3483.1,3435.55,3476.85,55794558,19.92,4.56,1.41
2006-09-05,3471.4,3488.6,3457.9,3473.75,49637615,19.9,4.55,1.42
2006-09-06,3474.4,3490.7,3465.8,3477.25,64632141,19.92,4.56,1.41
2006-09-07,3477.15,3478.85,3438.8,3454.55,61695576,19.79,4.53,1.42
2006-09-08,3454.65,3477.95,3442.85,3471.45,75299798,19.89,4.55,1.42
2006-09-11,3470.35,3486.65,3351.3,3366.15,78022331,19.29,4.41,1.46
2006-09-12,3363.3,3395.05,3328.45,3389.9,80287997,19.42,4.44,1.45
